name,category,latitude,longitude,cluster_label,is_hotspot
Axis Bank,bank,28.64725,77.194235,0,True
The Ambassador,hotel,28.6017391,77.228846,1,True
Unknown,restaurant,28.6069461,77.2299189,1,True
Unknown,bus_station,28.6108671,77.2516076,-1,False
Indian Oil,fuel,28.6175988,77.2497911,-1,False
Indraprastha Gas Limited,fuel,28.6186155,77.2493074,-1,False
Unknown,parking,28.6669732,77.2267137,7,False
Unknown,other,28.5962679,77.177701,-1,False
Unknown,fuel,28.6633196,77.2185803,-1,False
Yatri Guesthouse,hotel,28.6422845,77.2053386,0,True
Delhi Heart and Lung Institute Super Speciality Hospital,other,28.6416777,77.2052683,0,True
Hotel Metropolis,restaurant,28.6407045,77.2105994,0,True
Unknown,parking,28.6324431,77.2212149,0,True
Unknown,parking,28.6318154,77.2207988,0,True
Unknown,parking,28.6315957,77.2204152,0,True
Unknown,parking,28.633774,77.2186316,0,True
Unknown,parking,28.6340848,77.2195757,0,True
Piccadelhi,restaurant,28.635243,77.2196937,0,True
Parliament Visitor Parking,parking,28.6162015,77.2100168,0,True
Mori Gate Bus Terminal,bus_station,28.6683615,77.2251757,7,False
Hotel Tara Palace,hotel,28.6534876,77.2345124,2,False
Star Paradise,hotel,28.6410897,77.2156719,0,True
Bon Temps Cafe,cafe,28.6428339,77.186576,0,True
Big Apple,convenience,28.6324664,77.1774672,-1,False
Vivek,hotel,28.6410436,77.212675,0,True
Internet,cafe,28.6410051,77.2125387,0,True
Bangla Foods,restaurant,28.6333595,77.2083619,0,True
Vishal,hotel,28.6409016,77.2118997,0,True
Hare Krishna Guest House,hotel,28.6409675,77.2121571,0,True
Anoop,hotel,28.6409297,77.2121018,0,True
Maidens Hotel,hotel,28.674394,77.2261858,7,False
Radisson Blu Marina Hotel Connaught Place,hotel,28.6339659,77.2171659,0,True
Hotel Florence,hotel,28.6518872,77.191918,0,True
State Bank of India,bank,28.6563806,77.234434,2,False
Imperial Hotel,hotel,28.625283,77.2183628,0,True
Spice Route,restaurant,28.6253844,77.2181175,0,True
Good Earth,restaurant,28.5995254,77.226395,1,True
Nathus Sweets,restaurant,28.6297269,77.2320267,0,True
Bengali Sweet House,restaurant,28.629465,77.2318985,0,True
Unknown,fuel,28.6397503,77.1739956,0,True
Unknown,fuel,28.6396139,77.1740466,0,True
Pusa Institute,bus_station,28.640496,77.1741764,0,True
Hotel Krishna,hotel,28.6459152,77.2146894,0,True
Club India Restaurant,restaurant,28.6409319,77.2137081,0,True
Gushi International,hotel,28.6416237,77.2133024,0,True
